2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2018-12-31 00:13:06.268 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.271 [Thread-19] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2018-12-31 00:13:06.272 [Thread-19] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2018-12-31 00:13:06.273 [Thread-19] INFO  o.a.s.session.mgt.AbstractValidatingSessionManager - Disabled session validation scheduler.
2018-12-31 00:13:06.276 [Thread-19] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
